order,g_sp
1,Diplodus_puntazzo
2,Diplodus_sargus
3,Diplodus_vulgaris
4,Thalassoma_hardwicke
5,Thalassoma_quinquevittatum
6,Notolabrus_celidotus
7,Tautogolabrus_adspersus
8,Thalassoma_bifasciatum
9,Thalassoma_amblycephalum
10,Halichoeres_garnoti
11,Sebastes_atrovirens
12,Sebastes_spp_NA
13,Brachyistius_frenatus
14,Epinephelus_merra
15,Paralabrax_clathratus
16,Pomacentrus_pavo
17,Pomacentrus_moluccensis
18,Chromis_cyanea
19,Stegastes_leucostictus
20,Stegastes_partitus
21,Dascyllus_flavicaudus
22,Pomacentrus_wardi
23,Dascyllus_melanurus
24,Dascyllus_trimaculatus
25,Pomacentrus_amboinensis
26,Chromis_viridis
27,Chrysiptera_parasema
28,Dascyllus_aruanus
29,Trachinops_caudimaculatus
30,Coryphopterus_glaucofraenum
31,Lythrypnus_dalli
32,Sagamia_geneionema
33,Elactinus_sp.
34,Rhinogobiops_nicholsii
35,Leptocottus_armatus
36,Gillichthys_mirabilis
